lag,raw,whitened
283,-61443112.000000,0.000930
284,-61349080.000000,-0.000192
285,-61242288.000000,0.000358
286,-61116896.000000,-0.000449
287,-60960336.000000,-0.001120
288,-60761396.000000,0.001305
289,-60520024.000000,0.000041
290,-60243832.000000,0.000745
291,-59951384.000000,-0.000377
292,-59666368.000000,-0.000145
293,-59405944.000000,0.000494
294,-59171592.000000,0.000175
295,-58960680.000000,0.000494
296,-58766888.000000,0.000203
297,-58579936.000000,0.000726
298,-58385464.000000,0.000341
299,-58170720.000000,0.001876
300,-57929984.000000,0.000222
301,-57659080.000000,0.000958
302,-57355600.000000,-0.000525
303,-57022512.000000,0.001025
304,-56675416.000000,0.000789
305,-56333184.000000,0.000318
306,-56011308.000000,0.000294
307,-55718680.000000,0.000337
308,-55454404.000000,-0.000200
309,-55215788.000000,-0.000174
310,-54999544.000000,-0.000361
311,-54802760.000000,-0.000648
312,-54619828.000000,-0.000520
313,-54443720.000000,-0.000472
314,-54269528.000000,-0.000594
315,-54097028.000000,-0.000561
316,-53926240.000000,-0.000205
317,-53759416.000000,-0.000202
318,-53602008.000000,0.000001
319,-53459984.000000,-0.000334
320,-53335264.000000,-0.000490
321,-53227856.000000,-0.000269
322,-53140264.000000,0.001248
323,-53072928.000000,0.000441
324,-53018764.000000,0.001169
325,-52967616.000000,-0.000044
326,-52907528.000000,0.000688
327,-52824380.000000,0.000685
328,-52704584.000000,0.001081
329,-52536848.000000,0.000091
330,-52314352.000000,0.000570
331,-52034672.000000,-0.000097
332,-51696560.000000,0.000519
333,-51305336.000000,0.000712
334,-50872160.000000,0.000433
335,-50410800.000000,0.000825
336,-49932264.000000,0.000035
337,-49444664.000000,0.000631
338,-48957848.000000,-0.000153
339,-48478000.000000,-0.000045
340,-48008616.000000,0.000687
341,-47553200.000000,0.000097
342,-47109128.000000,0.000742
343,-46671096.000000,0.000761
344,-46232460.000000,0.000267
345,-45786648.000000,0.000157
346,-45327216.000000,0.001032
347,-44851664.000000,0.000276
348,-44362116.000000,-0.000101
349,-43861832.000000,-0.000309
350,-43354140.000000,-0.000154
351,-42843832.000000,0.000234
352,-42329956.000000,0.000178
353,-41809724.000000,0.000069
354,-41283756.000000,0.000155
355,-40755036.000000,0.000345
356,-40227728.000000,0.000262
357,-39710840.000000,-0.000008
358,-39209464.000000,0.000070
359,-38722968.000000,0.000497
360,-38244852.000000,0.000863
361,-37768008.000000,0.000447
362,-37285920.000000,0.000404
363,-36795276.000000,-0.000295
364,-36294576.000000,-0.000065
365,-35785936.000000,0.000457
366,-35273008.000000,-0.000235
367,-34760716.000000,-0.000058
368,-34257440.000000,-0.000188
369,-33776552.000000,0.000329
370,-33331482.000000,-0.000321
371,-32925700.000000,-0.000299
372,-32554972.000000,-0.000031
373,-32212546.000000,0.000611
374,-31889928.000000,-0.000032
375,-31578012.000000,-0.000141
376,-31269868.000000,0.000390
377,-30959064.000000,-0.000114
378,-30640708.000000,0.000155
379,-30313340.000000,-0.000001
380,-29979452.000000,0.000068
381,-29643316.000000,-0.000023
382,-29309152.000000,-0.000644
383,-28978620.000000,-0.000121
384,-28653028.000000,0.000748
385,-28332778.000000,-0.000594
386,-28018588.000000,0.000185
387,-27713702.000000,-0.000103
388,-27415336.000000,0.000928
389,-27117392.000000,0.000527
390,-26815278.000000,0.000748
391,-26507076.000000,0.000535
392,-26195028.000000,0.000120
393,-25881948.000000,0.000069
394,-25569028.000000,0.000332
395,-25255650.000000,0.000232
396,-24939946.000000,0.000514
397,-24623502.000000,0.000017
398,-24312000.000000,0.000436
399,-24013332.000000,0.000248
400,-23730856.000000,-0.000151
401,-23465094.000000,0.000036
402,-23215424.000000,0.000709
403,-22978770.000000,-0.000564
404,-22748948.000000,-0.000207
405,-22522878.000000,0.000160
406,-22300030.000000,-0.000243
407,-22078638.000000,-0.000163
408,-21857956.000000,-0.000385
409,-21635900.000000,0.000592
410,-21413838.000000,-0.000023
411,-21191192.000000,0.000243
412,-20967276.000000,0.000318
413,-20740448.000000,0.000165
414,-20513552.000000,0.000085
415,-20288752.000000,0.000514
416,-20064870.000000,0.000240
417,-19841692.000000,0.000007
418,-19623270.000000,0.000155
419,-19412132.000000,-0.000073
420,-19206848.000000,-0.000509
421,-19007028.000000,0.000250
422,-18814192.000000,0.000404
423,-18627384.000000,0.000041
424,-18441744.000000,0.000164
425,-18252544.000000,0.000299
426,-18058682.000000,0.000252
427,-17862404.000000,-0.000313
428,-17669120.000000,0.001082
429,-17484614.000000,-0.000118
430,-17310060.000000,-0.000156
431,-17144932.000000,-0.000094
432,-16985848.000000,0.000077
433,-16829696.000000,0.000489
434,-16676638.000000,0.000123
435,-16526508.000000,-0.000337
436,-16376850.000000,0.000603
437,-16227282.000000,0.000150
438,-16077528.000000,0.000447
439,-15928607.000000,0.000231
440,-15782172.000000,0.000429
441,-15639340.000000,-0.000077
442,-15500450.000000,0.000034
443,-15366440.000000,0.000347
444,-15237405.000000,0.000712
445,-15111177.000000,0.000228
446,-14985690.000000,0.000157
447,-14860268.000000,-0.000123
448,-14734626.000000,-0.000108
449,-14610632.000000,-0.000133
450,-14488027.000000,0.000311
451,-14368498.000000,0.000184
452,-14253804.000000,-0.000178
453,-14144239.000000,-0.000131
454,-14041868.000000,0.000219
455,-13819830.000000,-0.000201
456,-13544374.000000,0.000547
457,-13268856.000000,0.000354
458,-12990042.000000,-0.000076
459,-12704178.000000,-0.000200
460,-12408956.000000,-0.000388
461,-12104349.000000,-0.000142
462,-11791806.000000,0.000024
463,-11472263.000000,-0.000025
464,-11146212.000000,0.000280
465,-10814407.000000,0.000671
466,-10476206.000000,0.000060
467,-10129735.000000,0.001032
468,-9774636.000000,0.001450
469,-9414307.000000,-0.000217
470,-9054148.000000,-0.000190
471,-8698836.000000,-0.000611
472,-8349504.000000,-0.000175
473,-8004851.000000,-0.000214
474,-7663450.000000,0.000365
475,-7325302.000000,-0.000191
476,-6990302.000000,0.000599
477,-6658713.000000,-0.000415
478,-6331208.000000,-0.000095
479,-6008796.000000,0.000300
480,-5690080.500000,0.000219
481,-5373200.500000,0.000152
482,-5055626.000000,0.000613
483,-4735123.000000,0.000329
484,-4411708.000000,0.000446
485,-4086649.000000,0.000086
486,-3760925.250000,0.000055
487,-3434101.000000,0.000214
488,-3105638.000000,-0.000278
489,-2774952.250000,-0.000380
490,-2441888.250000,-0.000126
491,-2107896.500000,0.000181
492,-1775491.500000,-0.000153
493,-1446663.000000,0.000115
494,-1122297.125000,0.000002
495,-803187.750000,0.000114
496,-490332.093750,-0.000154
497,-183977.828125,-0.000057
498,115425.468750,0.000038
499,408982.843750,-0.000018
500,699852.875000,-0.000054
501,991423.437500,-0.000186
502,1286493.500000,0.000452
503,1584924.375000,0.000429
504,1884187.250000,0.000533
505,2181610.250000,-0.000201
506,2477943.250000,0.000267
507,2775358.750000,0.000986
508,3076795.000000,0.001752
509,3385101.000000,0.003781
510,3702425.500000,0.002393
511,4028870.500000,0.008836
512,4343998.500000,0.024000
513,4627489.000000,0.008457
514,4896416.000000,0.002036
515,5168686.000000,0.003655
516,5441669.000000,0.001373
517,5712305.500000,0.000573
518,5977774.000000,0.000437
519,6235116.500000,0.000132
520,6483392.000000,-0.000170
521,6722761.500000,-0.000077
